,review,sentiment
10349,"When I was very young, my mother had a series of four Looney Tunes/Merrie Melodies shorts on tape and I watched them all several times. A Coy Decoy was one of these shorts, and I was truly shocked to read in another comment that it had been banned. When I was young I probably did not even understand the Black Beauty gag to begin with. Still this is probably why it was banned, though until I watched this on a video site, I did not even remember the gag. Upon viewing the video I did remember certain shots - in particular the shrinking of Daffy's hat and Daffy's eyes becoming clockworkish as the decoy circled him in The Lake. I was not bothered by the gag that was most likely the reason the gag was banned. Instead I was flooded with childhood memories of watching this short. Because of how much I liked this short as a child, I rate it 7 out of 10.",positive
6918,"I hope whoever coached these losers on their accents was fired. The only high points are a few of the supporting characters, 3 of 5 of my favourites were killed off by the end of the season (and one of them was a cat, to put that into perspective).<br /><br />The whole storyline is centered around sex, and nothing else. Sex with vampires, gay sex with gay vampires, gay sex with straight vampires, sex to score vampire blood, sex after drinking vampire blood, sex in front of vampires, vampire sex, non-vampire sex, sex because we're scared of vampires, sex because we're mad at vampires, sex because we just became a vampire, etc.<br /><br />Nothing against sex, it would just be nice if it were a little more subtle with being peppered into the storyline. Perhaps HAVE a storyline and then shoehorn some sex into it. But they didn't even bother to do that... and Anna Paquin is a dizzy gap-tooth bitch. Either she sucks or her character sucks, I can't figure out which.<br /><br />Another part of the storyline that I find highly implausible is why 150 year old vampire Bill who seems to have his things together would be interested in someone like Sookie. She's constantly flying off the handle at him for things he can't control. He leaves for two days and she already decides that he's ""not coming back"" and suddenly has feelings for dog-man? Give me a break. She's supposed to be a 25 year old woman, not a 14 year old girl. People close to her are dying all over, and she's got the brightest smile on her face because she just gave away her V-card to some dude because she can't read his mind? As the main character of the story, I would've hoped the show would do a little more to make her understandable and someone to invest your interest in, not someone you keep secretly hoping gets killed off or put into a coma. I can't find anything about her character that I like and even the fact that she can read minds is impressively uninspiring and not the least bit interesting.<br /><br />I will not be wasting my time with watching Season 2 come June.",negative
16677,"8 Simple Rules is a funny show but it also has some life lessons especially one mature lesson about moving on after a lose which was the episode where Paul died which was the first episode I have ever watched of the show that comes on ABC. The Hennessy clan -- mother Cate (Katey Sagal), daughters Bridget (Kaley Cuoco) and Kerry (Amy Davidson), and son Rory (Martin Spanjers) -- look to one another for guidance and support after the death of Paul (John Ritter), the family patriarch. Cate's parents (James Garner and Suzanne Pleshette) lend a hand. I am glad later in the 2nd season of this show they decided to put David Spade in this show since he was done with the NBC series, Just Shoot Me! But all and all this show is pretty good. This show reminds me a lot of the classic family sitcoms from the 80's and 90's that used to be on ABC.",positive
34462,"Joan Fontaine is swept off her feet by the suave Cary Grant. After their marriage, she realizes that her husband is very irresponsible and owes a major gambling debt. It appears that Grant tries to scheme his best friend, Nigel Bruce, out of part of his life savings. Bruce ends up murdered and Fontaine suspects that her husband will try to kill her for the insurance money. This drama drags on to an abrupt and flat finale.",negative
25386,"Disowned by Richard C. Sarafian, this disaster stunk up Japanese theaters before coming to the States and going immediately to video, where it was not seen again until the Turner networks needed something other than infomercials to fill their 3am-6am time slots and found this tape at the bottom of their bin. The Smithee name is supposed to be used when the studio hacks the movie so badly that the director no longer wants his name attached to it. But I'm afraid that Sarafian can not blame the studio entirely on this one. The actors, mostly recent graduates of ""Overacting 101"", deliver one cornball line after another. The plot is convoluted. The special effects are unimpressive. The parts that aren't laughable are just plain boring. The script or the book must have been good - why else would Palance, Matheson, Boyle, or Heston agree to appear in this dud? But something went horribly wrong from the page to the screen. Summary: Avoid. Not even bad enough to be so-bad-it's-good.",negative
38510,"This movie had reminded me of watching the old black and white movies with my dad. More true to life characters looking for love, being in love, and loosing it. Old story fresh view. Larenz Tate was so Cary Grant in style as the character may have been in a clumsey situation, but the actor kept him from looking silly and like a cardboard cut out. Nia Long has always been a favorite of mine she is sweet even when she is tough, almost like a Kathrine Hepburn. This is one of his best work and showing that he is better than always playing an angry black man<br /><br />This movie is a classic, superb acting, well written, a real love story set in Chicago, what more can you ask for?<br /><br />SuperB Black Love Story",positive
25004,"I have to say I was really looking forward on watching this film and finding some new life in it that would separate it from most dull and overly crafted mexican films. I have no idea why but I trusted Sexo, Pudor y Lagrimas to be the one to inject freshness and confidence to our non-existent industry. Maybe it was because the soundtrack(which I listened to before I saw the film) sounded different from others, maybe it was because it dared to include newer faces(apart from Demian Bichir who is always a favorite of mexican film directors) and supposedly dealed within it's script with modern social behaviour, maybe because it's photography I saw in the trailers was bright and realistic instead of theatrical. The film turned out to be a major crowd pleaser, and a major letdown. What Serrano actually deals here with is the very old fashioned ""battle of the sexes"" as in ""all men are the same"" and ""why is it that all women...;"" blah,blah,blah. Nothing new in it, not even that, it uses so much common ground and clichè that it eventually mocks itself without leaving any valuable reflexion on the female/male condition. Full of usual tramps on the audience like safe gags about the clichès I talked about before(those always work, always) and screaming performances(it is a well acted film in it's context)..and by screaming I mean, literally. The at first more compelling characters played by Monica Dionne and Demian Bichir turn out to be according to Serrano the more pathetic ones. I completely disagree with Serrano, they shouldn't have been treated that way only to serve as marionettes for his lesson to come through...he made sure we got HIS message and completely destroyed their roles that were the only solid ground in which this story could have stood. Anyway, it is after all, a very entertaining film at times and you will probably have a good time seeing it (if you accept to be manipulated by it).",negative
17723,"Having seen most of the Coen Brothers previous films I expected something different and slighty off centre. OBWAT is certainly those things, but it also has a heart as big as..well..as big as Mississippi. It is one of the most plainly enjoyable movies to have come out in recent times, intelligent, well-crafted, clever and superbly acted.<br /><br />Characters are delivered in their myriad shades by a group of marvellous actors. George Clooney winning me over completely with his Clark Gable-ish looks and character. Having only ever seen him in Three Kings and his Thin Red Line cameo, I am now a fan. More comedy please George.<br /><br />John Tuturro and Tim Blake Nelson ably assist, especially Nelson. If ever ""The Simpsons"" is made into a movie then he must be a natural to play Cletus the slack-jawed yokel. I don't think there is a performance that falls short of excellent from the entire cast. My special favorite is Stephen Root as the blind Radio Station Man.<br /><br />Great old-timey music, a jiggy type dance by Clooney that I am trying to learn, and a feel of depression era southern US enhanced by sepia-like photography make this the best movie I've see so far this century. The only drawback to the film is that it has almost sent me broke buying the soundtrack, the DVD and a DVD player to play it on....it's THAT good!<br /><br />",positive
13813,"Duckman was a show that used to be on during the last hour or so before it was time to sleep about ten or so years ago. It was a contrast to a lot of the kid-type of animation I was watching at the time; I was still a minor junkie for Disney and Looney Tunes stuff, and most Saturday morning cartoons were still on the run-off of the peak from the days of Ninja Turtles and Batman. But also around this time I began to recognize that the more raunchy, mature, surreal, obscene, and (though I didn't know the term at the time) satirical cartoon shows were more creative than the stuff I was used to. Around the time of Beavis and Butt-head, Ren and Stimpy, and even The Maxx were hitting TV sets via MTV, USA put out two shows- one of them was Weird Science, and the other was Duckman. I've always remembered a few key bits from the show, and some of the lines are very quotable to those who haven't forgotten it completely. Luckily, I found a tape recently with about six episodes I taped long ago, and the jokes stayed very fresh. And the delivery of the jokes are rapid-fire a lot of the time in the better episodes. <br /><br />In the voice department, the choices in talent are top notch for the story-lines, which are usually just an excuse for crude, fascinating parodies of pop-culture, politics, movies and TV shows, music, detective mysteries, and the dysfunctional family unit. Jason Alexander is a wonderful choice for Duckman, and his performance is a comedic 180 from his days on Seinfeld (even if there might be some similar characteristics here and there). Also, the voices of Gregg Berger as the unmistakably monotoned and deadpan Cornfed, Dweezil Zappa as the hilariously inept Ajax, and Nancy Travis as the sex-starved, obnoxious Sister-in-Law Bernice, all contribute in a full amount. Along with some great writing - even when a joke isn't sure-fire, the wit behind it compensates - the animation style, while a far cry from some of the refurbished, computer-enhanced product of today, is inventive and often abstract. It has that home-made, gritty quality that Beavis and Butt-head or South Park would later have. And, like those shows, if you're a little kid, I mean little as in younger than I was watching the show, you may not understand most of the jokes (i.e. there are enough stripper and VD references to fill two shows sometimes). But it's inventive to catch if it's on TV late at night, and it functions rather well in that time slot. One can only hope for a DVD box set. <br /><br />So, to no one who's barely or even never heard of this program, here's a general note: think of this show as if Dashiell Hammett met up with Walt Disney and decided to go to slum part of Vegas with a free mini-bar and make a collaboration in the vein of Luis Bunuel and The Simpsons combined. Not to mention, it's by the group that did Rugrats.(strong) A",positive
5957,"There is no way to describe how really, really, really bad this movie is. It's a shame that I actually sat through this movie, this very tiresome and predictable movie. What's wrong with it? Acting: There is not one performance that is even remotely close to even being sub-par (atleast they are all very pretty). Soundtrack (songs): ""If we get Orgy on the soundtrack then everyone will know that they are watching a horror film!""; Soundtrack (score): Okay, but anyone with a keyboard can make an okay soundtrack these days. Don't even get me started on the ""What the hell?"" moments, here are a few: Killer can move at the speed of light--door opens actress turns, no one is there, turns back, there is something sitting in front of her.; Out of now where The killer shows up with a power drill, a really big one! The filmmakers get points for at least plugging it in, but can I really believe that the killer took the time to find the power outlet to plug it in. I feel like one of the guards at the beginning of Holy Grail and want to say ""Where'd you get the power drill?"". I could go on and on about how bad this film is but I only have 1000 words. I will give this 2 out of ten stars. One star for making me laugh and another star for all the cleavage. Seriously, do not waste your time with this one.",negative
